Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sept,Oct,Nov,Dec
1990,,3,4,29,111,191,376,410,116,39,14,3
1991,5,2,2,113,202,117,107,242,51,71,8,3
1992,11,10,40,126,104,148,205,348,17,32,8,6
1993,7,7,14,55,247,332,105,37,17,17,9,1
1994,,,11,60,136,210,201,106,86,23,28,11
1995,6,1,21,55,228,273,94,24,59,35,7,
1996,,,1,25,58,106,86,75,14,7,1,3
1997,1,,4,24,120,33,143,78,17,3,1,32
1998,,,2,152,403,260,187,532,83,60,10,9
1999,3,,5,133,120,207,275,427,43,84,28,30
2000,8,8,27,135,105,241,163,66,10,14,5,1
2001,14,5,29,76,280,176,186,83,52,55,23,10
2002,13,4,,33,257,567,351,118,57,22,20,5
2003,3,3,8,31,264,200,305,236,59,58,13,8
2004,3,8,4,228,297,264,617,117,42,27,3,2
2005,22,17,50,200,438,261,238,84,65,34,29,10
2006,6,3,7,350,388,324,520,151,138,57,6,4
2007,8,3,17,126,232,258,394,157,64,58,27,5
2008,6,10,2,102,437,338,414,221,74,87,20,1
2009,5,4,46,126,490,453,171,178,172,43,17,5
2010,2,,1,333,379,335,488,171,45,60,23,3
2011,14,3,31,137,403,109,172,154,121,43,27,4
2012,1,2,8,121,451,122,384,267,169,41,2,
2013,8,,11,36,524,120,194,164,130,25,13,1
2014,2,4,32,79,360,264,311,249,113,38,16,2
2015,7,10,63,272,492,453,307,149,52,62,22,9
